ActionPriceListRestrictionUse;RIWTY30HVLF41AEN4UHKWAEEFC
Položka deklarace;VWHBR3VJTGE4HBPPN110WUMBGC
Položka dod. ceníku;X4FW2TZZJUNOJH4HYQAMXIEMR4
Položka drobného majetku;G5YFJFW25ZF131MF00C5PPBIWO
Položka verze instalační sady;P40EFXDEERM45EMAN4WFBQSO3K
Poptávka vydaná;1FVATXUXI45O10T04MOFRYM0CS
Poptávka vydaná - řádek;Y4EEPPMY430O1GSOJUKFEVXPAS
Poptávkový list;LRXGCPGOAWZ4BEBLOJLAECPUIC
Poptávkový list - řádek;UL111W0UZE3OHHIXREO0SDASXC
Pořadí směny;4G15LD3MAFF13FG501C0C2VN0K
Pořízení majetku;K0MJQG0A1NEL31ME00C5PPBIWO
Poskytovatel poštovních služeb;Z5QZE3BVXOTOD4S3YFWJ2M2I3K
Poskytovatelé - řádek;3ZDF4OABE024103AYJGLAMRJIK
Postavení v zaměstnání;VGV3LLON0DU435JYHAAY1XVO3O
Pošta;ZD3JEESMGOJOFGIH5RDMMHSN3C
Potvrzení dobropisu vydaného;OZSLWQTRK2YOX5MFK4L3Z21OFC
Použití e-mailové adresy;HUOYSDCDD5S4L2WET0N4UJIGRW
Povaha transakce;SEKTV325L3D41AYRXB1DRDDQSC
Povolení oprav;X22RO5MKFCS4RH13W5B1AFIU0G
Povolený způsob úhrady;4ZTZIO3E5VP45CP2MXYP3P0TN0
Poznámka k výrobnímu příkazu;TS4EQ43XOCT4NHX5EAXXFHVTMO
Požadavek - obrázek tech. postupu;3WMHAMC52DSOZ1NQMR4KDQIYPG
Požadavek - rezervace;IHIZG4LOI2QORHDIMFRCULVGX4
Požadavek na objednávku vydanou;SM1XUDRS2BE1342X01C0CX3FCC
Požadavek na schválení výdaje;TLTR5CW2R4QOFG00KDZZPM2FVO
Požadavek na schválení výdaje - řádek;SNGAZPDDL2U4BCC5FCSEBVGYHO
Požadavek na výrobu;IVJSI1K34CJORFG1QBJOMTSVAG
Požadavek na výrobu - kalkulace kusovník;L4REXVXY1JA41AT2IQN3ZCFIOG
Požadavek na výrobu - kalkulace technologický postup;XJ5VCCPK2OI4L2YKWMI3KNEVIG
Požadavek na výrobu - kalkulace vyráběná položka;TIFIFEQRHFL4N0XQSVDXSMVRU4
Požadavek na výrobu - kusovník;EFGI2WXAJMEOV2UCIIVJPBUMOC
Požadavek na výrobu - technologický postup;RMBJ1K5KJKJOVGZZPKYSUS5N3O
Požadavek na výrobu - vyráběná položka;TX3FY4NELOB4JEFT5YOFC1XACO
Požadavek na změnu ceny;L5E3QBG444JOTHRZYCA0JRSHA4
Pracoviště a stroj;5XGE0QFOGIWOB5ANMTYRIVKJ0O
Pracovní kalendář;4415LD3MAFF13FG501C0C2VN0K
Pracovní lístek;XTVGL0IK2F14PDPCEHMYNWX4T4
Pracovní poměr;RFW3EQ50IEVOF2F5F33OWL1GXC
Pracovní úraz;RHRCNCIYCNDOJ3P50XSTMDMOFS
Pracovní zařazení;M0WG20LFN534R35EMBKAPD4JRW
Pracovník;53FKKCM5GGGOZ3TF2DJ3E40GSK
Pravidelné a doplňkové jízdy;MI1MJ4GV13B431JWNH5USTIB5K
Pravidlo pro zajištění zdrojů;TE1ZGACU453OLFAE32HB2RP2PC
Pravidlo pro zpřístupnění;C20PV4KF3JF13C5X00CA141B44
Pravidlo zpracování doručené e-mail. pošty;LIYRQP0GQCX4JGM1NBNRRX5L4O
Pravidlo zpracování fronty souborů;GQDT35XX0WOOX12PP0OH2CZB1K
Právní forma společnosti;VLLHHCFI42VONG5GEJNJEAVHZG
Preference skladových pozic;MFWKG1TPJE14J1Q3SY43HLH2UC
Preference skladových pozic - řádek;UCU3PCGXULEORI5BWWNR3QBWAG
Proces aktivit;SKWQTWWJXVY4X50WACKKGG0YDO
Prodejní místo;140XNDLBOOZO3AW4BJHU0NRVKO
Prodejní sklad;IG0PHRBQXKB4FI4NDJV3ZIUCE0
Produkt;OPUEYDT40JT4V0ZJTMAG43BWQ4
Projekt;QOKMKIQUJF34L3DUICTBWEDQJC
Projekt - bilance;UHA3H3KRBZP4ZEHJYPA55NOHYS
Projekt - kontrolní bod;W0AJ2RIPQKS4L5KJQLLF2M12RS
Projekt - řádek vyúčtování fakturace;D204QJHYFI34LEHERWQT4LPQS4
Projekt - vyúčtování fakturace;PUHXUZYVTFT4FJEPXEOWPDPJ4O
Projekt - zdroj;ODPETDV4CVP4B5AU5Y5SOXLI2G
Proměnná kampaně;P22XLUXQE2VOJGVM4N4ELHVM3C
Proměnná kampaně;TJIF5BI4YS4OFGDOP1KLIH5VSK
Provozovna;AT011EZZ5DFO115YJ1HCZJDXJ4
Průjezdná místa;IB4CJHESXW3OXIM54VWLG2MZQ0
Průjezdná místa;AJFVSJFYHP34TBR2443F5K3324
Průměr;PNIGGK4UW3X4B4ENKI4EWNP4IK
Prvek karty majetku;403Z1JD4FNEL315000C5PPZRR4
Prvek na dokladu vyřazení majetku;WAZ2QSAPLNEL315000C5PPZRR4
Prvek na dokladu zařazení majetku;KBPY1EGBMBEL315000C5PPZRR4
Prvek na dokladu změny ceny majetku;OHMXOCSJPNEL31ME00C5PPBIWO
Prvek odpisu majetku;CAOV3F4IN3EL315000C5PPZRR4
Přednostní naskladnění;1E23MOB30NZO5GBXVK04RJWGIO
Předpis úroků;2TQPFWWUJM541JOVTWPPEYJI0G
Přehled aktivit;25KIRDAW0ZW4XD1H3QGBRT2LQ0
Přenos pracovních lístků do mezd;E1QFCC3OS4E4D0IKCY5IFZ2OPC
Přerušení odpisů;G3E4EMOJJFEL315000C5PPZRR4
Přesměrování;L4KIBQMOGIL4TDJMQ4OZKUJOLG
Přestávka v druhu pracovní směny;LQDJAEM21GW45BZDGHPWKQHSKC
Přestávka v plánované směně;DUYMRHVLSAAO5BUQNWVI1SMLNK
Přesun mezi pozicemi;IFQWSXYA5XBOH3ZUHIYD4C4WY0
Přesun mezi pozicemi - řádek;YAVX2YL3SXF45EZKXBL3WF52M0
Převodka příjem;1D0I5SAOS3DL3ACU03KIU0CLP4
Převodka příjem - řádek;1L0I5SAOS3DL3ACU03KIU0CLP4
Převodka výdej;0P0I5SAOS3DL3ACU03KIU0CLP4
Převodka výdej - řádek;110I5SAOS3DL3ACU03KIU0CLP4
Převodní vztah;VEGDJ5M5GKG4RB5EY0B3ZOMTW0
Příjem hotových výrobků;C3DLAMUSDJNOLDWCDBSBM2GAI0
Příjem hotových výrobků - řádek;GJU2P1XJKZF41IBONBO5OUXCX4
Příjemka;E03ZNUMDTCC4PDAUIEY1MBTJC0
Příjemka - řádek;FLQIA44IVWM4B20GYRHC42BHGW
Příjemka - Vedlejší pořizovací náklady;K5G1TW4SWJDL3HBT00C5OG4NF4
Příjemka - známky dílčích skladových dokladů;RHA0BUY0AJ4O33EXAFZXSEHU4O
Příloha;DRPGSN0T4JXOX3AKVAOWYPVFQW
Příloha;NFRYEIF5FGGOJATGLWDOBTTI30
Příloha kampaně;XDCRJZDQJ034XGDMCHS04Q0FJO
Příplatek;3SWW11YWDQ0451OXZXU2XDUZKW
Režijní sazba;1BFJFZDST2Y4HGQYX3UOPAEL5K
Roční zúčtování;NRGKP3OPYD0OPEDC1UPCRTTDMC
Rodinný příslušník;YJ0OWQFW31YOFC542RPMTF23Q0
Role;QRDGQ1DV2CU4D3TOUMORZ0LWIW
Rozlišení typu plnění(ESL);YPZCQKMOVPBOLGHNKNLIUX3KIS
Řada aktivit;V4ZWII12WD3O3IRJZW04M00DMK
Řada aktivit - období;SIZFKCWHZHK4JHZ5AINQD0SRBO
Řada dokladů;OFTMKVQH3ZD13ACL03KIU0CLP4
Řada dokladů - období;CZTZCFMM53D133N2010DELDFKK
Řada dokladů pro dokumenty;C3ZLV0IAJDFOZ54KMKTNDMUXEW
Řádek;0P1DUSC0DBDL3ACT03KIU0CLP4
Řádek bez pořadí;0H1DUSC0DBDL3ACT03KIU0CLP4
Řádek datového zdroje;SFFXK10YXQD4LAQ22BLXACPPFO
Řádek definice ELDP;S1RBP4VH42OOPIHJDS425DMO3C
Řádek definice sloupců;J0NOWHR0ER44F1J1QRJARB2WQO
Řádek definice sloupců vývoje;LIPU5DL2KXW4513WRLMZPH41H4
Řádek DPH přiznání;XR0WAQFNTUS41B2QDUARMBWNW4
Řádek KV DPH;CXUCAWC355R4FBLTTWMTLCPL0S
Řádek montážního listu;T3S00IN35IV4D0M3AQ0Y10CDFC
Řádek nastavení gastrovýroby;WC0MXM50EFPOZHDXSXWM5OXCCW
Řádek nastavení kompletace;X0TOMHZNLKHORFF2JR0TJWEHOS
Řádek ND;0RR0MBBO1FYOLJVJKJEJY5AWBK
Řádek notifikace stavu serv.listu;F1XBAVUG4XH4H2PGESC11FGZ4O
Řádek odeslané pošty;Z1HUUQAYQ03OJ4TFCKHEAUGJKS
Řádek pracovního úrazu;T3YY3W5CEZG4XJ0NV5YESFTDAS
Řádek pravidla pro zajištění zdrojů;CMY4QWGEXLUO5IU0U21RL2O4YC
Řádek přenosu pracovních lístků do mezd;P42J35NICMHOZHINERWMP4HHCW
Řádek ročního zúčtování;1GI5RYL2RPX4NCO2XS2ZBPM4LC
Řádek sady datových zdrojů;0YDOE22JIGE4L2UJ014I3WA4KW
Řádek sazby;0E3B5QRFHDK4X0DYCF51X25YYS
Řádek servisní odbornosti;HOTDIVBIJLL4LBXSE42IABDVXK
Řádek servisní operace;HBFZ4QUAS5E4VJOV0JPFPKS4OG
Řádek splátkového kalendáře;QPUNJ0UXZVSON3HH1UI4FH1AQ0
Řádek vlastností zobrazení definic omezení;NWCYK5YV2LHON3WQ1JTK1ZVKV0
Řádek výstupního dokladu;3CHEPT5MB4E4PHATSSEYDCQRJO
Řádky účetní odpisové skupiny;44ZJJGGFC3EL3C5V00CA141B44
Řidič;YLDB3SQX4MH4LI1HVEBIX0CVGW
Sada datových zdrojů;T0J1QZUMUCSOPADBDLX45XXNAS
Sada definovatelných položek;W1MZBIJR3VF13JXR00KEZYD5AW
Sada tlačítek dotykové kasy;BUYRAU0M2L04H45K3ZYBIVCE0S
Sada tlačítek dotykové kasy - klávesa;5JPNGSK1BNX4VHJYFVKZEOIKS4
Sada tlačítek dotykové kasy - oddíl;SVRTMLH4GA3OP4GYYCAE2HWXF0
Sada tlačítek dotykové kasy - stránky;NSWPFS1SR3CO5G533V3T2SBBLG
Sankční faktura;QE52A32YJN2OH31VHW4T2GO5TS
Sankční faktura - řádek;MQZ0YZUSH2Z4XGMAB2SCL00AI4
Sazba nemocenské dávky;OFF2YY1J4RF13FG501C0C2VN0K
Sazba úroku z prodlení;BSJSIM5EDGHONCEZI3L343PRYO
Sčítanec;OEFTI4HWO31OT0SE4B2OND4TY4
Sdílení definic omezení;ZASYV1H5G2AO31LGKLB4VZJS30
Segment struktury adresy skl. poz.;OBOC1PWZP4FOFAMGXJNLJJD0SO
Servis.oper. - varianty modelů;QKZSQV2XLCROF1NFHGUQ4O3JRC
Servisní dílna - řádek;5HNBHU3QW53OR01YZQ12NYG2BS
Servisní dílna/pracoviště;S0MSV3WXRC24PFNR3SF20HZ5VC
Servisní list;BCHF52UGXCO4H5MIAQVY5P3ZOC
Servisní odbornost;OJQ5SXN23YPOX2PYAK41SFBIVO
Servisní operace;KT2VYJLN4J4OLG1CMIEZACQRVC
Servisní závada;ICCXDIBSOG24P035ZTCVVQ5XZK
Servisní závada - řádek;E0VFITFPCF1OV4UBMZ4TGYYMYG
Servisovaný předmět;OWHN2TMXL2COJJ3LKNBV4OVSTC
Schéma pro ML dílčí;C22J315FYT44VD5PK4XSHZH5P0
Schéma pro ML souhrnný;Q3Q5Y1H0J4DOPEPOEA135B2CNW
Schválený výdaj;J3OX4YPVKRLONIEJMHS21TWO3S
Schválený výdaj - řádek;GMFIN4FEXMM4ZCALAMWCMBX1YK
Schvalovací scénáře;4FYOJXN5LMV4TIMCQPZOD42WN0
Schvalování dokladu;ISAXGZ5QTOKOVDRV2H15P0OTZK
Schvalování dokladu - řádek;2NQH4TZTWE3OV3WBIKM34NQC1S
Sklad;SFMSB5W15BDL3CL100C4RHECN0
Skladová karta;C3V5QDVZ5BDL342M01C0CX3FCC
Skladová pozice;4K24RM04IWWO5253XT3URBAUZS
Skladová rezervace;K2M34TV4RNDL342W01C0CX3FCC
Skladová uzávěrka;H02HW1LGO2H4LJOKKT4VALAGKO
Skladové menu;42P1E2VUANDL342Q01C0CX3FCC
Skladové místo;WVGCVNSC5ZDL3CL100C4RHECN0
Skladový doklad;GF1U1H4R1ZE13HS401K0LEYWLS
Skladový doklad - pohyb šarže/sériového čísla;K3TH0HR5TZDL342W01C0CX3FCC
Skladový doklad - řádek;0ITGDE00UJDL3HBT00C5OG4NF4
Skript;MHKLQWNHX33OVDC4WBG2YGDG0K
Skripty výpočtového vzorce;BQCQONESVEDOBJJ00FI1UXBUFO
Skupina definice sloupců;TXXAOVDA3ODODFETUF121B5QSG
Skupina kategorizačních údajů;IRSOJ52LUTXOJHD1VCXKY2HYNS
Skupina rolí;2EAHIVDVAVE13C5S00CA141B44
Skupina záznamů;5MLYXSP43O04F5IABHZ45HF2FW
Skupiny prací;M3ZTQWN4RAFODGQSPVTJ14AD04
Sleva pro pokladní prodej;3ZXSRN2EOWZOF4ARIICWYG2CCK
Služba pošty;0TFSS52PVCMOF31C0Y4CAXDIRO
Směna;EFIAYR5CJY2O1FBRZRNRFSBQO0
Směna;4PQMXIVPHN0OF50GLMPF2BAIXS
Směna - prodej v sazbě DPH;X3WXZAR3F0M4TG40CHTMMO2HGC
Směna - prodej za firmy;KZJJSL2MLDTOTBJWESMWPF5RQ4
Směna - prodej za obsluhujícího;1KL3SQMZPHC43EMTAAZHISL5N4
Směna - prodej za sklady;QP02LIVADM34XFOX1OHS42VXXW
Směna - prodej za skupiny zboží;B0PCHCYQ2XCOVA3QVZIKACMOYO
Směna - prodej za zboží;OOIR1CS3KNN4PF4TN5YD0JCSZS
Směna - prodej za způsoby úhrady;TZTP20IZTRE4XFFY3PCGIGFJ2S
Sortimentní skupina;CXFX42FXFE0O34X2JAWIGX4CN4
Sortimentní sleva firmy;BEBBDMCYTJO4BENYQHORP1FPXS
Součást skladové makrokarty;414UEUZUGRDL342T01C0CX3FCC
Souhrnný pokladní doklad;012F3WQVEREL3JY400C5PPZRN0
Souhrnný pokladní doklad - platba;MF30GEIAHZQO3GHVPYCRVW3BYK
Souhrnný pokladní doklad - řádek;0D2F3WQVEREL3JY400C5PPZRN0
Souhrnný pokladní doklad - řádek vracení;ODKKG3MIUDQ4ZDTHNPVI2WC21G
Souhrnný pokladní doklad - skladový doklad;BROIIK2PQTJ4313BP4AHYPIQIK
Souhrnný pokladní doklad - zálohový list;5MAQRATDXIT45JBCPEBOIBHVYC
Souhrnný pracovní lístek;H0NLJLKS5SMOVIMJFM5FVSKNPS
Související zaměstnanec;ESHZPDBCOMQOF04LZPM4QMKALC
Souvislost zdrojových skupin;YUWBYZ00JHK433RSBDU5INTEMW
Speciální EAN;PECLUUNCM3T4JDGD04DKAMFY4C
Splátka majetku na leasing;V1RQCCDA05BORA4YG5WI5CPVEG
Splátkový kalendář;3HVWO2CNQKUOJDNWUMPHLASX3S
Správce doplňkového důchodového spoření;Z31KHMQYF4LOD51WGUHIX0VULK
Srážka;AYXMYI0O0MJ4VAP3TU0YSLRF44
Statistika používání definic omezení;QJPD1R3RQRVOPDRAFUYKFNC2MO
Statistika používání podmínek omezení;DRDTPV20YYKOHCT3J1AWHBYOGG
Stav došlé pošty;A3VKA2UX5NFOVGQ3DYGXB2BCVO
Stav nabídky;4IJEFUSI2FK4FASUBCMCZUDEZW
Stav servisního listu;2GNOVUSQ0GHOJJHX2DS3YQISQ4
Stav v pipe-line;0XVIXAV11TY4NIKAG0INVQKJ2C
Stravní jednotka;WGPXWXPODBN4THYRUUIKWOUT44
Stravní jednotka - řádek;G0Q0R0FPB34OBDX41SHI43OJL4
Struktura kódu šarže a sériového čísla;L5L15WE5C5BOT1QI35U3NV2ZKS
Středisko;O1X54EUXPZCL35CH000ILPWJF4
Stupeň vzdělání;1TTKJQ5L2GD4LDCGSO55K0Z1RC
Svěřená pomůcka;YMPCCIZSP1UOJ0OKGV5UHGHXUW
Systém.nastavení;J3ZFOODZVR3OLHYBXBRQO2QPE0
Systémový soubor stylů;P1W4H5AP1WNOFFMWFLJFLSJMWG
Šarže/sériové číslo;C32QXZWCTVDL342W01C0CX3FCC
Tabulka obratů dealerských skupin;KNYNZDQ4BVDL3CL100C4RHECN0
Tabulka obratů dealerských skupin - řádek;KBYNZDQ4BVDL3CL100C4RHECN0
Tarif OD;MV02IX0ZZHE4FERHJZHQYTGZ4W
Tarifní třída;FW1OLEWGUU443ICX0SUSZKK32S
Technologický postup;RW2YIIHUHP3OZCQ5RQR5SJQWI4
Technologický postup - řádek;3KHZXPR1T5145JROOCIYSV00OO
Telefonní přístroj;QBCIJLDGF0I4DGLPKSUMGFWVJK
Text notifikace stavu serv.listu;ILN1C52QX2W4B0KWAWLUWK1YFK
Tiskárna bonů;EGOIC2B4N3HO55VIJIYHRFR4NC
Tržba;00MEV5HL5BEL3JY400C5PPZRN0
Tržba - den;KM3QGDVJ4UG432UYDY53LRIYM0
Tržba - řádek;0KMEV5HL5BEL3JY400C5PPZRN0
Tržba - šek;4ARAYCQA1OEONF2TO03MHX44HS
Třída řidiče;U4TPHY3BPF2OXEPFB4U51Q2K1W
Typ aktivit;SMOEDRFJASV4P4XCFPYBZ1UYYO
Typ kampaně;J3V5BNBVPDEON0TE440RZU0QKK
Typ nabídky;CDF1OBXVC5J4FD34054MYXAEUO
Typ nabídky - možná role řešitele nebo řešitel;0EQFT4JWPXT4NHAJ1P3YLMBK2G
Typ nabídky - možný stav;KORAZYRFHM54D5ZUQ1DIZNSKNC
Typ odpočtu/slevy;DAEFQSSK5024X4111WYLMWUJ1C
Typ příjmu;02VVSAICKNDL3ACT03KIU0CLP4
Typ rovnoměrného odpisování;CYM4NVO0KF5OV15QJ4DKYYLHY0
Typ servisního případu;Y1IRGP2ZVK143AX5IPUJMXPGX0
Typ skladové karty;K00Q4IS15VDL342P01C0CX3FCC
Typ technologického postupu;35QVJCYE0E2OTGCPG4WKQQNDTW
Typ úkolu;EL5RS0DREGAOVBMJKIY1UZDBJC
Typ vlastnictví;OTGECTJO5US4PBK2DJ0COMFHMW
Typ vozidla;YWXOKAPJHWF431J5S5WHKKVNPK
Typ výdaje;0AVVSAICKNDL3ACT03KIU0CLP4
Typy dokladů;AW5IAL1JOIHOH5LYMB4HYVGELC
Typy obsahů došlé pošty;B45HZUAAJU4ONCLY0CU3V1UMC4
Typy obsahů odeslané pošty;MTOSCETT4IC45JVA0Z02W1BUSW
Účastník dokumentu;GZLDLHFQN2E4JB3BRQSLJMDFYO
Účastník na CRM Aktivitě;1FIXUH0DFVH4P40OT1X52GRLSK
Účel jízdy;LI4R41XMF54OVI3E4JBONWZ3I4
Účet účetního rozvrhu;S4JQL5BH1ND13ACL03KIU0CLP4
Účetní odpisová skupina;S4AINFUSBREL314Z00C5PPZRR4
Účetní předkontace;W0JQ3RIV5FD13ACL03KIU0CLP4
Účetní předkontace - řádek;W4JQ3RIV5FD13ACL03KIU0CLP4
Účetní předkontace - řádek rozúčtování částek;YCLK5AK0AIW4L4OWEU253LILS0
Účetní řada dokladů;OBTMKVQH3ZD13ACL03KIU0CLP4
Účetní řada dokladů - období;CRTZCFMM53D133N2010DELDFKK
Účetní skupina;DJS1BMBT4RD13ACL03KIU0CLP4
Účetní zápis/žádost;C3S1BMBT4RD13ACL03KIU0CLP4
Účetní zápis/žádost podle vlastních skupin;ONYTJQ1YK3FORGAAJYMYF2FOEG
Účtenka;G2D500MLAJEL3JY400C5PPZRN0
Účtenka - DPH;BBGMCOIN2GA4N5SDQK0SWYUWZS
Účtenka - historie;YCSHRVQRPI445HIP31S3PTCRMK
Účtenka - platba;PS4MF1VTJV5433YKVCS4VMUYDC
Účtenka - platba pro změnu;0QPAW2ASAKX4T4I25ALIPCAZQ4
Účtenka - řádek;GED500MLAJEL3JY400C5PPZRN0
Účtenka - sleva;SHQDLRVGGYB4X5G2XZCZ32XD40
Úkol;HHJUG2WPFSA4RF0V1N2BYIHYCK
Úloha ve frontě automatizačního serveru;GT04OGULWMHOR5ENSVODJHRUG4
Úloha ve frontě automatizačního serveru - adresát;VSY3YS1LNSROXEJ1C0BTMFBIHC
Umístění majetku;TA0TK3IYPDGONGOIUIWBJMBCI0
Unikátní POP3 ID doručeného e-mailu;JW1XDFJKTSF4JJ3IKS40OGX4RG
Upomínka;4FPFONEOIIK4BIRPR1LX4IGKZC
Upomínka - řádek;FXYQSSKKDBU4DDJOB4LMKLQZW0
Upomínka splátky;OEZXQIVUIJJOX5B0QR13VZ2CU0
Upomínka splátky- řádek;OV0VQ0J1YEEOD3FUPGFWH0J3RO
Uzávěrka DPH;EPXJ3GDLIOZ41FPIS3POB3NUCS
Uzávěrka knihy jízd;KGNSFZRDLEGOBEVSARVXQDLX4K
Uzávěrka mezd;SVHSKSQSIBP4NJ5HDTKSV0RMO0
Uzávěrka pošty;43CW0W1DJ404JF3XJSEL1RKUJK
Uzavřený doklad;SXE0BHBAPILO5E3XB4Q55JGMIW
Uživatel;22AHIVDVAVE13C5S00CA141B44
Uživatel modulu evidence pošty;V4OZZQ4YZHX4J5V1C4TMFJR1Z4
Uživatelská část řádku definice ELDP;BE5CZY52XUS4VI4EHYPBDWM52W
Uživatelské sloupce;MIGW5LLL1EGOL2I4WIUBGU1EC0
Variantní formuláře - definice;ANKUNA2M0VC43JUN4JIHP4LU04
Variantní formuláře - varianta;IQINA1RIHY0OFH51SRAOME5VLG
Vazba mezi doklady;01ZXNDSYDVD135SA02K2CQM5AW
Vazba mezi schváleným výdajem a dokladem;UVHP2MPF1LZO3CS5DH3IW4HM44
Vazba na proměnnou;JCUROONCC1W4HDRBNH4L2WAQGK
Vazba na vedlejší pořizovací náklady;D1DHUXZBHJYORIFVHMQMQTVAM0
Vazba na vedlejší pořizovací náklady;NX3JPQUMF1BOX1RWPVPD2DSA2O
Vazba na vedlejší pořizovací náklady;0FB441MY5MQODGJQWZALBTSIKK
Vazba skl. karty na skl. menu;1DCBUI1GQSW4FGKPA4YCNIDNLG
Vazba stavu nabídky na proces aktivity;Z3RYBXVGPQA4XGA3QVQFUPHVJW
Verze instalační sady;044BHHEQWIY41BUUVFJLMPRKES
Verze vývojového produktu;C4EXB5RVLRDL3HGF01K0LEIOE0
Vklad do pokladního místa;P12PMGS0A3EOFHZGRNZMNP30HK
Vklad do pokladního místa - řádek;QIA3IRMANLJ4R5ZN0SR0EA1I5W
Vlastnost zobrazení definic omezení;OTHLGVHG5E1O1BE5ARLDUZZMI4
Vozidlo;A0K4JBLYQ5GONHAZFMQBAQ2NMW
VP - etapa;FRW2U5TI4Q24Z00SM3AQPSLE2K
VP - kusovník;URVJ2ULRJ4B43EK1QLU3A2OXR0
VP - obrázek tech. postupu;5ZN2HPIFVFN4N5YCNK0FIISHAK
VP - potvrzení rozdílu času při ocenění;2UH23OVJORO4THDEHIXAZP4COO
VP - potvrzení rozdílu materiálu při ocenění;CMMQJ0SNIXKO33NQHI4W3ONTUG
VP - rezervace;CGIKBZK0YU4ODBXQCVTNC30YXW
VP - sériové číslo;ZDT5FNBXGXT4FGFPTWI3YKZ31C
VP - sestavy komponenty;VQSHVJL4KGQ43FWTPMM2HSRLRO
VP - technologický postup;HRKADG42X2H4BJ2RL5KUAUG3PK
VP - vrácení materiálu;UGCJ1N2AKPBO5EAQHOVXTC534O
VP - výdej materiálu;H15RFPIHWZ0ODHZ5U3VSMFGENG
VP - vyráběná položka;MQHKS5K0YQZOLJWWMG50U44U0S
Vrácení materiálu z výroby;P1BFFDCSUG04JG5LVBL11MPBPS
Vrácení materiálu z výroby - řádek;EOL2QZRMNU5ONEYHJAZ2D3BGNC
Vrácení pokladního příjmu;WW02MSU3BBDL3ACR03KIU0CLP4
Vrácení pokladního příjmu - řádek;X002MSU3BBDL3ACR03KIU0CLP4
Vrácení pokladního výdeje;0GQIJFGOFNDL3ILA00C4RHECN0
Vrácení pokladního výdeje - řádek;00QIJFGOFNDL3ILA00C4RHECN0
Vrácení zpět z koop. pro ML;XTGRMH354PEO1GVBVWZ05JEAJS
Vratka dodacích listů;1T0I5SAOS3DL3ACU03KIU0CLP4
Vratka dodacích listů - řádek;210I5SAOS3DL3ACU03KIU0CLP4
Vratka příjemek;3OKSI2XXYK2OB2JRPZ3U4UXTGK
Vratka příjemek - řádek;S42ZNF1B4S0OPJSA1QUDXB4VQS
Výdaje vozidla;MKFX11DOF0R41B3R03CWWUVBEC
Výdej materiálu do výroby;2MV0SHPYLFJOL3D4WN02HCPX5S
Výdej materiálu do výroby - řádek;YMPR5ATH032O1H3R4VWVLDLY4S
Výdej z pokladního místa;P0HCR5VVMXF4TF1DCGTG0QEPOK
Výdej z pokladního místa - řádek;PATDM0KOGIJOH2IUOMJ2GA0JDS
Výdej z pokladního místa - řádek - mincovka;XZLLUDNUFPW4JGAEFEMPVKICFC
Výdej z pokladního místa - šek;RSEUAFD0XSZODDGUAIFDSSC1T4
Výchozí hodnota;20FLRCETJGI4HF0MLS02PAHD1G
Výchozí účastník dokumentu;LGX4NIEMQJ4ONEWMEWYQ0YCPFK
Výjimka pracoviště;ZOROB0ECH1C4P33LGYE3K25N4C
Výjimka pracoviště - platnost;XU1D0TGNN2A4R4FBG1FGTOAJNW
Výkon;S51PUQKVOHROLBZSHX100ELLC0
Vyloučené období;QAVHA3CWYHBOZBEGKXH4OCSXCK
Výp.vzorec průměru;1JUARH15GVTONGGDVLI1O153IW
Výpočtové schéma;S0PLTHH4332411HJJ4NZQWVID0
Výpočtové schéma pracovního poměru;3MXZ022PMX145CQKODOXE4HIZ0
Výpočtové schéma při výpočtu;1TOCAGZPBX44XCJCVZZ11XJ5HO
Výpočtový vzorec;D22YJWK1B4HO54W4GMXLO1EAHC
Výrobní list;0WKLNXMUBTHO34F2FIE1A5EYGS
Výrobní list - řádek;3M2WRYKXBQN4R5TRVQSTF5OTXK
Výrobní příkaz;HTI3OTLGNRPO32EEISEPC0XZ0K
Výrobní servis;HASWMZ31NCK4H0Q4CQOYG0BV5K
Výrobní úloha;BJTSLF2T32F4HA2RDDJX0QAZLC
Výrobní úloha - řádek;CIMR22XDOT34TEPLQS5I3MVDH4
Vyrovnání nedokončené výroby;BJPYQBANGYCOBAZL20Q40EWIBS
Vyřazení majetku;C3CG4OZGHFEL315000C5PPZRR4
Vyskladnění z pozic;LNQ1VOVM1TE4XJDLGNXAK0I1FS
Vyskladnění z pozic - řádek;AAOPADMASYZOT421BZ21BNDGLG
Výsledek schvalování dodavatele (pouze paměťový BO);TFUIUG1SMMXOP3WJGREGLSC44C
Výsledky schvalování dodavatelů;H1XPLIZJ0SUOVB0C4TD3WV343K
Výstupní doklad;H1DGT5DFW4RO5CG30BRNZRWWOG
Vývojová dokumentace;S2MBTCTKOZDL3HGF01K0LEIOE0
Vývojové téma;010F0I2IM3DL3HGF01K0LEIOE0
Vývojový požadavek;GHGX5UKIMBDL3HGF01K0LEIOE0
Vývojový produkt;K0OJVIGELJDL331C00C5OG4NF4
Vzájemný zápočet;01WQTLPOHBD4LEOC2CKCGLO4AG
Vzájemný zápočet - řádek;134MMRIAYNBON5C1IA5W5RSSNC
Vzdálenosti;V1XYU404ATNOJAP3QJ4C3RHGR0
Vzkaz;33XZARXR1BM4L55MOX54NTRBWG
Vzor jízdy;ZWYZSVLQ5RG4T1HQVAN5NASAU4
Vzorec roč.zúčt.;WO3YCZMFU2J41JQYA5TPFXO4F0
Webová služba;2N2XVAYGEJ341JNPEWT5QLNM00
